"Time"	"Function"	"Ncol"	"Nrow"	"Type"
15063	"loop"	10	10	"matrix"
13967	"loop"	10	10	"matrix"
39366	"apply"	10	10	"matrix"
8800	"colSums"	10	10	"matrix"
15482	"loop"	10	10	"matrix"
7005	"colSums"	10	10	"matrix"
14651	"loop"	10	10	"matrix"
35227	"apply"	10	10	"matrix"
7843	"colSums"	10	10	"matrix"
37936	"apply"	10	10	"matrix"
36732	"apply"	10	10	"matrix"
7897	"colSums"	10	10	"matrix"
35799	"apply"	10	10	"matrix"
37163	"apply"	10	10	"matrix"
15124	"loop"	10	10	"matrix"
13953	"loop"	10	10	"matrix"
14296	"loop"	10	10	"matrix"
7520	"colSums"	10	10	"matrix"
16247	"loop"	10	10	"matrix"
14087	"loop"	10	10	"matrix"
13919	"loop"	10	10	"matrix"
35917	"apply"	10	10	"matrix"
7582	"colSums"	10	10	"matrix"
6996	"colSums"	10	10	"matrix"
6052	"colSums"	10	10	"matrix"
16760	"loop"	10	10	"matrix"
6566	"colSums"	10	10	"matrix"
35728	"apply"	10	10	"matrix"
7555	"colSums"	10	10	"matrix"
16090	"loop"	10	10	"matrix"
6584	"colSums"	10	10	"matrix"
14583	"loop"	10	10	"matrix"
15690	"loop"	10	10	"matrix"
14526	"loop"	10	10	"matrix"
13972	"loop"	10	10	"matrix"
14145	"loop"	10	10	"matrix"
37055	"apply"	10	10	"matrix"
8194	"colSums"	10	10	"matrix"
15268	"loop"	10	10	"matrix"
6527	"colSums"	10	10	"matrix"
5833	"colSums"	10	10	"matrix"
5823	"colSums"	10	10	"matrix"
5999	"colSums"	10	10	"matrix"
5736	"colSums"	10	10	"matrix"
13829	"loop"	10	10	"matrix"
6449	"colSums"	10	10	"matrix"
40709	"apply"	10	10	"matrix"
35862	"apply"	10	10	"matrix"
15362	"loop"	10	10	"matrix"
35371	"apply"	10	10	"matrix"
15600	"loop"	10	10	"matrix"
14013	"loop"	10	10	"matrix"
36440	"apply"	10	10	"matrix"
36425	"apply"	10	10	"matrix"
17186	"loop"	10	10	"matrix"
7838	"colSums"	10	10	"matrix"
38001	"apply"	10	10	"matrix"
38134	"apply"	10	10	"matrix"
8069	"colSums"	10	10	"matrix"
6757	"colSums"	10	10	"matrix"
39317	"apply"	10	10	"matrix"
8410	"colSums"	10	10	"matrix"
7144	"colSums"	10	10	"matrix"
6105	"colSums"	10	10	"matrix"
5964	"colSums"	10	10	"matrix"
16736	"loop"	10	10	"matrix"
6624	"colSums"	10	10	"matrix"
37239	"apply"	10	10	"matrix"
38256	"apply"	10	10	"matrix"
38688	"apply"	10	10	"matrix"
15612	"loop"	10	10	"matrix"
38486	"apply"	10	10	"matrix"
38054	"apply"	10	10	"matrix"
37468	"apply"	10	10	"matrix"
8389	"colSums"	10	10	"matrix"
7156	"colSums"	10	10	"matrix"
6905	"colSums"	10	10	"matrix"
36830	"apply"	10	10	"matrix"
16007	"loop"	10	10	"matrix"
15268	"loop"	10	10	"matrix"
13989	"loop"	10	10	"matrix"
13968	"loop"	10	10	"matrix"
8432	"colSums"	10	10	"matrix"
14561	"loop"	10	10	"matrix"
38619	"apply"	10	10	"matrix"
15424	"loop"	10	10	"matrix"
7572	"colSums"	10	10	"matrix"
36804	"apply"	10	10	"matrix"
15474	"loop"	10	10	"matrix"
7552	"colSums"	10	10	"matrix"
36835	"apply"	10	10	"matrix"
14692	"loop"	10	10	"matrix"
35379	"apply"	10	10	"matrix"
35309	"apply"	10	10	"matrix"
7552	"colSums"	10	10	"matrix"
17727	"loop"	10	10	"matrix"
37250	"apply"	10	10	"matrix"
16041	"loop"	10	10	"matrix"
37590	"apply"	10	10	"matrix"
17744	"loop"	10	10	"matrix"
14279	"loop"	10	10	"matrix"
14524	"loop"	10	10	"matrix"
16271	"loop"	10	10	"matrix"
36162	"apply"	10	10	"matrix"
15248	"loop"	10	10	"matrix"
14443	"loop"	10	10	"matrix"
34835	"apply"	10	10	"matrix"
8668	"colSums"	10	10	"matrix"
8148	"colSums"	10	10	"matrix"
15674	"loop"	10	10	"matrix"
36782	"apply"	10	10	"matrix"
37440	"apply"	10	10	"matrix"
8176	"colSums"	10	10	"matrix"
38722	"apply"	10	10	"matrix"
35045	"apply"	10	10	"matrix"
34302	"apply"	10	10	"matrix"
33690	"apply"	10	10	"matrix"
8189	"colSums"	10	10	"matrix"
38576	"apply"	10	10	"matrix"
40932	"apply"	10	10	"matrix"
16724	"loop"	10	10	"matrix"
15030	"loop"	10	10	"matrix"
41649	"apply"	10	10	"matrix"
63316	"apply"	10	10	"matrix"
50583	"apply"	10	10	"matrix"
40806	"apply"	10	10	"matrix"
11451	"colSums"	10	10	"matrix"
7158	"colSums"	10	10	"matrix"
16199	"loop"	10	10	"matrix"
15809	"loop"	10	10	"matrix"
7140	"colSums"	10	10	"matrix"
17488	"loop"	10	10	"matrix"
7266	"colSums"	10	10	"matrix"
41880	"apply"	10	10	"matrix"
35988	"apply"	10	10	"matrix"
15192	"loop"	10	10	"matrix"
36894	"apply"	10	10	"matrix"
7753	"colSums"	10	10	"matrix"
6688	"colSums"	10	10	"matrix"
38207	"apply"	10	10	"matrix"
14478	"loop"	10	10	"matrix"
14122	"loop"	10	10	"matrix"
7285	"colSums"	10	10	"matrix"
6465	"colSums"	10	10	"matrix"
37665	"apply"	10	10	"matrix"
8616	"colSums"	10	10	"matrix"
8356	"colSums"	10	10	"matrix"
34896	"apply"	10	10	"matrix"
37896	"apply"	10	10	"matrix"
15635	"loop"	10	10	"matrix"
37071	"apply"	10	10	"matrix"
40417	"apply"	10	10	"matrix"
15023	"loop"	10	10	"matrix"
37543	"apply"	10	10	"matrix"
7830	"colSums"	10	10	"matrix"
18439	"loop"	10	10	"matrix"
6515	"colSums"	10	10	"matrix"
6469	"colSums"	10	10	"matrix"
13698	"loop"	10	10	"matrix"
6841	"colSums"	10	10	"matrix"
35819	"apply"	10	10	"matrix"
33846	"apply"	10	10	"matrix"
16269	"loop"	10	10	"matrix"
7805	"colSums"	10	10	"matrix"
6345	"colSums"	10	10	"matrix"
35276	"apply"	10	10	"matrix"
14183	"loop"	10	10	"matrix"
15715	"loop"	10	10	"matrix"
35297	"apply"	10	10	"matrix"
8964	"colSums"	10	10	"matrix"
6988	"colSums"	10	10	"matrix"
14269	"loop"	10	10	"matrix"
34842	"apply"	10	10	"matrix"
36733	"apply"	10	10	"matrix"
7870	"colSums"	10	10	"matrix"
14840	"loop"	10	10	"matrix"
6825	"colSums"	10	10	"matrix"
6147	"colSums"	10	10	"matrix"
16016	"loop"	10	10	"matrix"
7097	"colSums"	10	10	"matrix"
37636	"apply"	10	10	"matrix"
7360	"colSums"	10	10	"matrix"
17208	"loop"	10	10	"matrix"
36325	"apply"	10	10	"matrix"
7021	"colSums"	10	10	"matrix"
6349	"colSums"	10	10	"matrix"
35883	"apply"	10	10	"matrix"
36324	"apply"	10	10	"matrix"
16602	"loop"	10	10	"matrix"
7442	"colSums"	10	10	"matrix"
